1pugC00,3.30.1310.10
3noiA00,2.60.40.10
3tnlA02,3.40.50.720
4y3kB01,3.30.497.10
5oomJ02,1.10.10.250
3zssA03,3.20.20.80
1vpuA00,1.10.195.10
3bg3A05,2.40.50.100
1h42A02,3.40.50.80
3fr3B02,1.20.1050.10
1wkyA02,2.60.120.260
1siqA02,2.40.110.10
2bruC00,3.40.50.1220
3mc6A02,3.90.1150.10
3mh7A04,2.30.42.10
2aswA00,1.10.8.500
2o7sA03,3.40.50.720
4je0A01,2.60.40.1280
3dzhA01,1.20.82.10
2b5gA00,3.40.630.30
1oajA00,2.60.40.200
2z6mA00,1.20.1260.10
3t22C02,3.40.190.10
1vhvB02,3.30.950.10
4om0H01,2.60.40.10
1ir2U02,3.20.20.110
1b7pA00,1.10.530.10
2rd9A01,1.20.120.450
3dv9A01,3.40.50.1000
4dzbB01,2.60.40.10
1yjbA00,3.40.50.200
2wngA01,2.60.40.10
4d8uB02,3.40.50.1100
3u2aA00,3.30.450.310
5hciC00,3.40.50.300
4biyC01,1.10.287.130
4yobA00,2.40.70.10
1dwkI02,3.30.1160.10
3o2rD00,1.10.1520.10
5nroA01,3.30.420.40
3s7iB01,2.60.120.10
1wl8A00,3.40.50.880
3u1vA01,3.40.50.620
4dgmA02,3.30.200.20
2f48A03,1.10.10.480
3tvyA02,3.30.70.1830
3vr5C02,3.40.50.300
3q8dA01,2.40.50.140
2dr1A01,3.90.1150.10
3hcsA02,3.30.40.10
2r7dC01,1.10.10.10
2ovlB02,3.20.20.120
5ajiB01,1.10.287.1260
3x2yA00,3.60.15.10
1n2xB01,3.40.50.150
4bfkA00,2.60.40.730
1oyyA03,1.10.10.10
4xbhA01,3.40.390.10
4zm3A02,3.40.640.10
2l8vA01,1.10.3130.20
2kcpA01,2.40.10.310
4od3L02,2.60.40.10
3uueA00,3.40.50.1820
2wzpR03,3.30.1920.20
3g3gA01,3.40.190.10
4ryeC00,3.40.710.10
3fpaB00,3.40.50.300
5m7uA01,3.20.20.80
5o8aA00,2.40.155.10
5fzbA01,2.60.120.650
6gfzG00,3.10.20.90
6goaC00,3.40.710.10
4luyB02,3.20.20.10
3s6pA02,2.60.120.20
1pjlH02,3.40.50.720
1wm5A00,1.25.40.10
1gs3A00,3.10.450.50
2psoB02,3.30.530.20
1ngcA03,3.30.420.40
3bvoA01,1.10.287.110
4kghA00,3.15.10.10
4ysfA00,2.60.120.10
5z86I00,4.10.93.10
6c7lA02,1.20.1090.10
3picA00,3.40.50.1820
3zcjA00,1.20.58.1660
1miwA02,1.10.110.30
3fjoA01,3.40.50.360
1iizA00,1.10.530.10
1l51A00,1.10.530.40
2q35A02,6.20.390.20
3etfB01,3.40.605.10
4jl3A00,1.10.357.10
3tx4A02,2.40.440.10
1rhgB00,1.20.1250.10
3pj0A02,3.90.1150.10
6mnyA01,3.30.200.20
2rhkA00,3.30.420.330
2q1fB01,2.60.120.430
2rbiA00,3.10.450.30
4pp8A00,3.10.100.10
1j2qH00,3.60.20.10
3rscB01,3.40.50.2000
4i4jD00,3.10.129.10
2id3B02,1.10.357.10
3vywB02,3.40.50.150
4k4kB01,2.60.40.2620
5h6kA00,3.90.210.10
1ic1A02,2.60.40.10
1vliA02,3.90.1210.10
4pelB01,3.60.20.10
4y1rA00,3.40.50.880
2btqB01,3.40.50.1440
4armA02,1.10.530.40
1xquB00,3.30.428.10
2wjqA00,2.40.160.40
6e08L02,3.30.360.10
3eqzB00,3.40.50.2300
1kkhA01,3.30.230.10
2qckA01,2.30.110.10
2e84A03,3.90.10.10
1sz6A01,3.40.420.10
5l6hC01,3.50.50.80
2ygtA00,2.70.240.10
1w26A02,1.10.3120.10
2cpmA00,3.30.1370.50
2g4cA01,3.30.930.10
3brlA00,3.30.740.10
4oy6A00,2.70.50.50
3uwpA01,1.10.260.60
1attA01,2.30.39.10
3qwtC00,1.50.10.10
5tf5A02,3.40.640.10
2nwaG01,2.40.240.20
5jrzA01,3.40.50.300
4yqyB00,3.40.50.720
4emtA02,3.40.50.12100
4wb0A01,3.90.1150.10
3detB00,1.10.3080.10
1h4aX01,2.60.20.10
1wn1A01,3.40.350.10
2a77H01,2.60.40.10
2obkC00,3.40.30.10
1qyqA00,2.40.155.10
1uurA04,3.30.505.10
2p8iC00,3.30.70.1240
2uzpC00,2.60.40.150
3rfaA01,1.10.150.530
5tq4A02,1.10.510.10
3nbjA03,2.70.98.20
5v37A01,2.170.270.10
2r31A02,1.10.3580.10
3b8tA02,3.20.20.10
3hgtA00,3.40.50.12360
2ocfA00,1.10.565.10
2du9A00,1.10.10.10
4ovzA03,2.60.120.1680
4ipuB00,3.55.40.10
1uelB00,6.10.300.40
1oyxA01,2.30.30.140
1xhdA00,2.160.10.10
3miiA00,3.40.50.880
4dalH02,3.40.309.10
1ujuA00,2.30.42.10
5tznA00,3.10.100.10
3kdmA01,2.60.40.10
4emyA01,3.90.1150.10
1aidA00,2.40.70.10
3bzcA01,1.10.10.650
3o0fA02,1.10.150.650
4ntnF00,3.30.479.10
3zplF00,1.10.10.10
3zniI01,1.20.930.20
2erfA00,2.60.120.200
5xhfA02,2.60.40.10
6oi7F01,1.10.3210.10
5l8vA00,3.40.50.300
4dhiB01,3.30.200.60
5dmjF01,2.10.50.10
2ql6G00,3.40.50.300
3eh0A01,3.40.1390.10
3rrsA01,2.70.98.40
1pogA00,1.10.10.60
4gljA00,3.40.50.1580
4aoyA00,3.40.718.10
2efvA00,3.30.70.3260
3mb5A01,3.10.330.20
3myvB01,1.25.40.390
1vh0A00,3.40.1280.10
3tpfB01,3.40.50.1370
4aw4A02,3.80.10.10
1u6mA00,3.40.630.30
6godA00,3.40.50.300
4nn1A00,1.10.357.10
3fesA00,1.10.1780.10
3rjtB00,3.40.50.1110
5dvbD00,3.40.30.10
4r40A01,3.40.50.10070
1y67C02,3.55.40.20
2vhoB01,3.40.50.10490
1p5zB00,3.40.50.300
4griA02,3.90.800.10
4jdmB03,2.60.120.1340
5c31E00,3.40.50.1390
3rgfA02,1.10.510.10
6djnD01,3.30.420.40
3aeyB01,3.40.50.1100
1b4kB00,3.20.20.70
6g7mL00,1.10.645.10
3mvjB01,1.10.510.10
3d5tC01,3.40.50.720
2i02B00,2.30.110.10
3b0xA01,1.10.150.110
3c7tA01,3.40.50.1240
1p72A00,3.40.50.300
2c9iG00,2.40.155.10
1ye8A00,3.40.50.300
4s17A01,3.10.20.70
5y16B00,3.90.190.10
2qqvA01,2.115.10.20
2g6yC00,2.40.155.10
1ua7A01,3.20.20.80
2lp0A00,1.10.10.60
3fehA02,2.30.29.30
6di1A01,3.30.200.20
3cnyA00,3.20.20.150
1q8vB00,2.60.120.200
2ra2E00,2.30.30.100
4qq1C04,2.40.160.90
3obaA01,2.60.120.260
3ehcC00,3.10.450.50
2xd3A02,3.40.190.10
5f6eA00,3.10.110.10
1kiyA00,1.10.600.10
5dm6H00,2.40.150.20
3r8eA01,3.30.420.40
4c12A01,3.40.1390.10
5hcuB00,3.40.50.1820
4bajA00,3.60.150.10
3gk6A00,3.20.80.10
4cvgA03,3.90.1230.10
2k7sA01,3.30.450.20
2gbbB00,1.20.59.10
1cwvA05,3.10.100.10
2j7qC00,3.90.70.120
3b2nA00,3.40.50.2300
3ffjA01,2.60.40.1760
1k4uS00,2.30.30.40
3v4tE02,3.65.10.10
1hhvA00,2.40.50.40
5lmbB02,1.10.510.10
2j9fA00,3.40.50.970
5h8wA04,3.40.50.300
5wj2A00,2.40.155.10
4xkmA00,3.20.20.150
2al1B02,3.20.20.120
1ds3I00,3.30.60.30
4qyjA02,3.40.309.10
2d62A01,3.40.50.300
3tj7A00,2.40.320.10
1ldjA06,1.10.10.10
3bxjB03,1.10.506.10
5oe0A00,3.40.710.10
3rc3A04,3.40.50.300
5h2bA02,2.60.40.10
4zomA00,1.10.565.10
5hwyA02,1.20.1420.30
1v1gA00,1.10.238.10
3crlC00,2.40.50.100
5ns6A00,3.20.20.80
6nmfB01,1.10.287.90
3pf6B00,6.10.250.2290
2xrnA02,3.30.450.40
2r44A03,1.10.8.80
3h56A02,2.60.40.420
2y2xA01,2.40.160.10
3kuxA02,3.30.360.10
5oseA02,1.10.510.10
2a8xB03,3.30.390.30
2vq1A01,2.60.40.10
5ibtL01,2.60.40.10
1fp1D01,1.10.10.10
2r4oA00,2.40.160.60
1pylA00,3.10.450.30
1vs9W00,1.10.287.310
1oz3C02,2.30.30.140
5bs1C00,1.10.1200.210
5cogA00,1.20.120.450
3layF00,1.20.120.1490
3shgB00,1.10.8.1050
6i9iL01,2.60.40.10
3q7hN00,3.90.226.10
4rv9A04,3.40.50.720
4oa4D00,3.40.190.170
4jo7E00,6.10.140.1350
2xdqB03,1.20.89.20
1vi2B02,3.40.50.720
4ah4B00,2.120.10.70
3ne8A00,3.40.630.40
2hmfA02,3.30.2130.10
2ws9100,2.60.120.20
5itzF00,1.25.40.20
3ho4B02,2.10.25.10
2vdiF02,3.20.20.110
1wao402,3.60.21.10
6nceA00,1.10.10.10
4e40A00,1.20.1260.80
4mmxC00,2.60.40.10
4mpyD02,3.40.309.10
5f72S01,2.60.40.10
1yoxF00,3.60.160.10
1xd4A04,1.10.840.10
5zpbA03,2.70.98.20
2gsdA01,3.40.50.720
2ztgA03,2.40.30.130
3u9uA01,2.60.40.10
2qt1A00,3.40.50.300
3nk6B02,3.40.1280.10
5gaeG02,3.90.930.12
1yksA02,3.40.50.300
3orxA02,1.10.510.10
1cvhA00,3.10.200.10
5zvlB00,3.40.30.10
6ap9A02,1.20.1050.10
3r06A02,2.60.40.10
4pabA04,3.30.70.1400
4epsA01,2.60.40.2620
1ihbA00,1.25.40.20
2hmtA00,3.40.50.720
4ri5A00,3.90.190.10
2yqzA02,1.10.8.900
1a9mA00,2.40.70.10
4w8jA03,2.100.10.10
4hcjA00,3.40.50.880
2ymjA00,1.20.5.4010
3qmfA01,3.30.540.10
1e29A00,1.10.760.10
2b0oG01,1.10.220.150
1jnfA02,3.40.190.10
3abkI00,4.10.93.10
3usaC01,3.10.320.10
4kivA00,2.40.20.10
4s1pA00,3.40.50.1110
4ae6B01,1.10.510.10
1pg7W01,2.60.40.10
2xidA02,2.30.30.670
4bwxA02,1.20.5.5160
1f60B00,3.30.70.60
4gx0B04,3.40.50.720
4hf1A00,1.10.10.10
5dg4A00,2.40.128.20
5vv9B03,3.90.1230.10
1dt4A00,3.30.1370.10
2lklA01,1.10.1900.40
1sc0B00,3.10.129.10
2xr1A02,3.30.300.20
4gnsA03,3.40.50.10190
3n5gA00,3.30.572.10
3d60A00,2.115.10.20
3js8A03,3.40.462.10
4zyjA01,1.10.540.10
