Query-ID	Query-Label	Lookup-ID	Lookup-Label	Embedding distance	Nearest-Neighbor-Idx
A0A023W0B6	Extracellular	Q9GQV7	Extracellular	1.3098	1
A0A023W0B6	Extracellular	B5LUQ8	Extracellular	1.4630	2
A0A023W0B6	Extracellular	B5LUR1	Extracellular	1.4902	3
A0A023W123	Extracellular	Q9BPI0	Extracellular	0.9707	1
A0A023W123	Extracellular	P0C1N6	Extracellular	1.0036	2
A0A023W123	Extracellular	Q8MMH5	Extracellular	1.0130	3
A0A023W140	Extracellular	Q6B4T5	Extracellular	0.8916	1
A0A023W140	Extracellular	D2Y233	Extracellular	0.9871	2
A0A023W140	Extracellular	D2Y2D7	Extracellular	0.9944	3
A0A063CBJ7	Extracellular	M5A8F1	Extracellular	1.1690	1
A0A063CBJ7	Extracellular	Q8IN41	Extracellular	1.1694	2
A0A063CBJ7	Extracellular	W1I921	Extracellular	1.1891	3
A0A097PTA8	Extracellular	B3FIN4	Extracellular	1.0900	1
A0A097PTA8	Extracellular	P09230	Extracellular	1.1218	2
A0A097PTA8	Extracellular	Q5A0X8	Extracellular	1.1791	3
A0A0D1DWQ2	Extracellular	Q9VJD3	Golgi.apparatus	1.2804	1
A0A0D1DWQ2	Extracellular	O01839	Golgi.apparatus	1.2812	2
A0A0D1DWQ2	Extracellular	Q9UST3	Golgi.apparatus	1.2932	3
A0A0D1EAR7	Extracellular	P58806	Extracellular	1.0839	1
A0A0D1EAR7	Extracellular	Q8IN42	Extracellular	1.1179	2
A0A0D1EAR7	Extracellular	Q8IN41	Extracellular	1.1716	3
A0A0P1A8A0	Extracellular	P58806	Extracellular	1.6132	1
A0A0P1A8A0	Extracellular	Q3LHH8	Extracellular	1.7753	2
A0A0P1A8A0	Extracellular	Q9VMR8	Extracellular	1.7773	3
A0A0P1AK67	Extracellular	P58806	Extracellular	1.7820	1
A0A0P1AK67	Extracellular	Q9VMR8	Extracellular	1.8837	2
A0A0P1AK67	Extracellular	Q9SX77	Mitochondrion	1.8940	3
A0A0P1B5K4	Extracellular	Q9NPP4	Cytoplasm	1.2699	1
A0A0P1B5K4	Extracellular	Q3UP24	Cytoplasm	1.2728	2
A0A0P1B5K4	Extracellular	Q9NX02	Cytoplasm	1.2870	3
A0A0U1RRE5	Cytoplasm	Q3Y452	Cytoplasm	1.2654	1
A0A0U1RRE5	Cytoplasm	O60356	Nucleus	1.3301	2
A0A0U1RRE5	Cytoplasm	O95411	Nucleus	1.3511	3
A0A182BSR9	Extracellular	P58806	Extracellular	1.5835	1
A0A182BSR9	Extracellular	Q9VMR8	Extracellular	1.6046	2
A0A182BSR9	Extracellular	Q9UT31	Mitochondrion	1.6147	3
A0A1C3NSL9	Cell.membrane	Q9VMA7	Golgi.apparatus	1.2396	1
A0A1C3NSL9	Cell.membrane	A1ZA47	Cytoplasm	1.2677	2
A0A1C3NSL9	Cell.membrane	Q9BKZ9	Cytoplasm	1.2690	3
A0A1D8PQB9	Extracellular	O04492	Nucleus	1.8789	1
A0A1D8PQB9	Extracellular	O48809	Extracellular	1.9918	2
A0A1D8PQB9	Extracellular	P46013	Nucleus	2.0034	3
A0A1I9LMX5	Extracellular	P0DKJ8	Nucleus	1.6447	1
A0A1I9LMX5	Extracellular	P0DKJ7	Nucleus	1.6658	2
A0A1I9LMX5	Extracellular	O04492	Nucleus	1.7949	3
A0A1S4AX27	Nucleus	Q8VY74	Nucleus	1.3855	1
A0A1S4AX27	Nucleus	Q03525	Nucleus	1.4427	2
A0A1S4AX27	Nucleus	Q8N5F7	Nucleus	1.4471	3
A0A2H5RJD4	Extracellular	C6KFA3	Cell.membrane	0.9864	1
A0A2H5RJD4	Extracellular	Q9BDB7	Cytoplasm	0.9970	2
A0A2H5RJD4	Extracellular	Q9BPY3	Nucleus	1.0016	3
A0A2I0BUK1	Cell.membrane	Q8IE95	Nucleus	1.1763	1
A0A2I0BUK1	Cell.membrane	Q8IEF6	Nucleus	1.4572	2
A0A2I0BUK1	Cell.membrane	P07390	Mitochondrion	1.6337	3
A0A396JG59	Cell.membrane	Q8S3U9	Cytoplasm	0.9260	1
A0A396JG59	Cell.membrane	Q9LXX6	Cytoplasm	0.9906	2
A0A396JG59	Cell.membrane	O23304	Cytoplasm	0.9974	3
A0CY51	Cytoplasm	O13943	Cytoplasm	1.2476	1
A0CY51	Cytoplasm	Q9W032	Cytoplasm	1.3139	2
A0CY51	Cytoplasm	Q9VVX0	Cytoplasm	1.3214	3
A0JNW5	Cytoplasm	Q9UPZ3	Cytoplasm	0.9479	1
A0JNW5	Cytoplasm	Q5JTW2	Cytoplasm	0.9680	2
A0JNW5	Cytoplasm	Q9V3C5	Golgi.apparatus	0.9716	3
A0MZ67	Cell.membrane	Q9Y6H5	Cytoplasm	0.7192	1
A0MZ67	Cell.membrane	Q8K4T4	Cytoplasm	0.7321	2
